fakeroot 1.20.2 4.fc24 x86_64
fakeroot-libs 1.20.2 4.fc24 x86_64
fcoe-utils 1.0.30 5.git91c0c8c.fc24 x86_64
fedora-icon-theme 1.0.0 19.fc24 noarch
fedora-logos 22.0.0 3.fc24 x86_64
fedora-logos-httpd 22.0.0 3.fc24 noarch
fedora-release 24 2 noarch
fedora-release-notes 24.03 1.fc24 noarch
fedora-repos 24 6 noarch
ffmpeg 3.1.7 1.fc24 x86_64
ffmpeg-libs 3.1.7 1.fc24 x86_64
fftw-libs-double 3.3.4 7.fc24 x86_64
fftw-libs-single 3.3.4 7.fc24 x86_64
file 5.25 6.fc24 x86_64
file-libs 5.25 6.fc24 x86_64
filesystem 3.2 37.fc24 x86_64
findutils 4.6.0 7.fc24 x86_64
fipscheck 1.4.1 10.fc24 x86_64
fipscheck-lib 1.4.1 10.fc24 x86_64
firefox 52.0 6.fc24 x86_64
firewall-config 0.4.4.3 2.fc24 noarch
firewalld 0.4.4.3 2.fc24 noarch
firewalld-filesystem 0.4.4.3 2.fc24 noarch
flac-libs 1.3.1 6.fc24 i686
flac-libs 1.3.1 6.fc24 x86_64
fltk 1.3.3 8.fc24 i686
fltk 1.3.3 8.fc24 x86_64
fluidsynth-libs 1.1.6 7.fc24 x86_64
fontconfig 2.11.94 7.fc24 i686
fontconfig 2.11.94 7.fc24 x86_64
fontpackages-filesystem 1.44 17.fc24 noarch
fpaste 0.3.8.3 1.fc24 noarch
fpc-srpm-macros 1.0 1.fc24 noarch
freeglut 3.0.0 3.fc24 x86_64
freeglut-devel 3.0.0 3.fc24 x86_64
freerdp 2.0.0 5.git.b02943a.fc24 x86_64
freerdp-libs 2.0.0 5.git.b02943a.fc24 x86_64
freetype 2.6.3 3.fc24 i686
freetype 2.6.3 3.fc24 x86_64
fribidi 0.19.7 2.fc24 x86_64
fros 1.1 8.fc24 noarch
ftgl 2.1.3 0.14.rc5.fc24 x86_64
fuse 2.9.7 1.fc24 x86_64
fuse-libs 2.9.7 1.fc24 x86_64
game-music-emu 0.6.1 1.fc24 x86_64
gamin 0.1.10 22.fc24 x86_64
gamin-python 0.1.10 22.fc24 x86_64
gawk 4.1.3 8.fc24 x86_64
gc 7.4.2 6.fc24 x86_64
gcc 6.3.1 1.fc24 x86_64
gcc-c++ 6.3.1 1.fc24 x86_64
gcc-gdb-plugin 6.3.1 1.fc24 x86_64
GConf2 3.2.6 16.fc24 x86_64
gcr 3.20.0 1.fc24 x86_64
gd 2.2.4 1.fc24 x86_64
gdb 7.11.1 86.fc24 x86_64
gdbm 1.11 7.fc24 x86_64
gdbm-devel 1.11 7.fc24 x86_64
gdisk 1.0.1 2.fc24 x86_64
gdk-pixbuf2 2.34.0 1.fc24 i686
gdk-pixbuf2 2.34.0 1.fc24 x86_64
gdk-pixbuf2-modules 2.34.0 1.fc24 i686
gdk-pixbuf2-modules 2.34.0 1.fc24 x86_64
gegl 0.2.0 29.fc24 x86_64
geoclue2 2.4.3 1.fc24 x86_64
GeoIP 1.6.9 2.fc24 x86_64
GeoIP-GeoLite-data 2017.01 1.fc24 noarch
gettext 0.19.8.1 2.fc24 x86_64
gettext-libs 0.19.8.1 2.fc24 x86_64
gfs2-utils 3.1.9 1.fc24 x86_64
ghc-srpm-macros 1.4.2 4.fc24 noarch
ghostscript 9.20 6.fc24 x86_64
ghostscript-core 9.20 6.fc24 x86_64
ghostscript-fonts 5.50 35.fc24 noarch
ghostscript-x11 9.20 6.fc24 x86_64
giflib 4.1.6 15.fc24 x86_64
gimp 2.8.20 1.fc24 x86_64
gimp-libs 2.8.20 1.fc24 x86_64
git 2.7.4 3.fc24 x86_64
git-cola 2.8 1.fc24 noarch
git-core 2.7.4 3.fc24 x86_64
git-core-doc 2.7.4 3.fc24 x86_64
gkrellm 2.3.7 2.fc24 x86_64
glade-libs 3.20.0 1.fc24 x86_64
glassfish-el-api 3.0.0 8.fc24 noarch
glib2 2.48.2 1.fc24 i686
glib2 2.48.2 1.fc24 x86_64
glibc 2.23.1 11.fc24 i686
glibc 2.23.1 11.fc24 x86_64
glibc-all-langpacks 2.23.1 11.fc24 x86_64
glibc-common 2.23.1 11.fc24 x86_64
glibc-devel 2.23.1 11.fc24 x86_64
glibc-headers 2.23.1 11.fc24 x86_64
glibc-langpack-en 2.23.1 11.fc24 x86_64
glibmm24 2.48.1 1.fc24 x86_64
glib-networking 2.48.2 1.fc24 i686
glib-networking 2.48.2 1.fc24 x86_64
gl-manpages 1.1 11.20140424.fc24 noarch
glx-utils 8.3.0 3.fc24 x86_64
gmp 6.1.1 1.fc24 i686
gmp 6.1.1 1.fc24 x86_64
gmp-devel 6.1.1 1.fc24 x86_64
gnat-srpm-macros 4 1.fc24 noarch
gnome-disk-utility 3.20.2 1.fc24 x86_64
gnome-icon-theme 3.12.0 4.fc24 noarch
gnome-keyring 3.20.0 1.fc24 x86_64
gnome-keyring-pam 3.20.0 1.fc24 x86_64
gnome-python2 2.28.1 17.fc24 x86_64
gnome-python2-bonobo 2.28.1 17.fc24 x86_64
gnome-python2-canvas 2.28.1 17.fc24 x86_64
gnome-python2-gnome 2.28.1 17.fc24 x86_64
gnome-python2-gnomevfs 2.28.1 17.fc24 x86_64
gnome-themes 2.32.0 14.fc24 noarch
gnome-vfs2 2.24.4 20.fc24 x86_64
gnome-vfs2-common 2.24.4 20.fc24 noarch
gnome-web-photo 0.10.5 9.fc24 x86_64
gnu-free-fonts-common 20120503 12.fc24 noarch
gnu-free-mono-fonts 20120503 12.fc24 noarch
gnu-free-sans-fonts 20120503 12.fc24 noarch
gnu-free-serif-fonts 20120503 12.fc24 noarch
gnumeric 1.12.34 1.fc24 x86_64
gnupg 1.4.21 1.fc24 x86_64
gnupg2 2.1.13 2.fc24 x86_64
gnupg2-smime 2.1.13 2.fc24 x86_64
gnutls 3.4.17 2.fc24 i686
gnutls 3.4.17 2.fc24 x86_64
gnutls-c++ 3.4.17 2.fc24 x86_64
gnutls-dane 3.4.17 2.fc24 x86_64
gnutls-devel 3.4.17 2.fc24 x86_64
gobject-introspection 1.48.0 1.fc24 x86_64
goffice 0.10.34 1.fc24 x86_64
goocanvas 1.0.0 10.fc24 x86_64
google-chrome-stable 57.0.2987.133 1 x86_64
google-guice 4.0 4.fc24 noarch
google-noto-fonts-common 20150929 2.fc24 noarch
google-noto-sans-lisu-fonts 20150929 2.fc24 noarch
google-noto-sans-mandaic-fonts 20150929 2.fc24 noarch
google-noto-sans-meetei-mayek-fonts 20150929 2.fc24 noarch
google-noto-sans-tagalog-fonts 20150929 2.fc24 noarch
google-noto-sans-tai-tham-fonts 20150929 2.fc24 noarch
google-noto-sans-tai-viet-fonts 20150929 2.fc24 noarch
go-srpm-macros 2 6.fc24 noarch
gparted 0.27.0 1.fc24 x86_64
gpgme 1.8.0 10.fc24 x86_64
gpg-pubkey 0b40f7fd 41094e3f (none)
gpg-pubkey 3e1ba8d5 558ab6a8 (none)
gpg-pubkey 7fa2af80 576db785 (none)
gpg-pubkey 7fac5991 4615767f (none)
gpg-pubkey 81b46521 55b3ca9a (none)
gpg-pubkey 96ca6280 5544d430 (none)
gpg-pubkey a7317b0f 551deab2 (none)
gpg-pubkey b7546f06 5544d2dc (none)
gpg-pubkey be1229cf 5631588c (none)
gpg-pubkey d38b4796 570c8cd3 (none)
gpg-pubkey ef546dd5 56eed0ed (none)
gpg-pubkey f90c0e97 483e8383 (none)
gpicview 0.2.5 1.fc24 x86_64
gpm-libs 1.20.7 9.fc24 x86_64
gpsbabel 1.5.4 2.fc24 x86_64
gpsd-libs 3.16 2.fc24 x86_64
graphite2 1.3.6 1.fc24 i686
graphite2 1.3.6 1.fc24 x86_64
graphviz 2.38.0 33.fc24 x86_64
grep 2.25 1.fc24 x86_64
groff-base 1.22.3 8.fc24 x86_64
grub2 2.02 0.38.fc24 x86_64
grub2-efi 2.02 0.38.fc24 x86_64
grub2-tools 2.02 0.38.fc24 x86_64
grubby 8.40 3.fc24 x86_64
gsettings-desktop-schemas 3.20.0 1.fc24 x86_64
gsl 2.1 4.fc24 x86_64
gsm 1.0.16 1.fc24 i686
gsm 1.0.16 1.fc24 x86_64
gssproxy 0.5.1 3.fc24 x86_64
gstreamer1 1.8.3 1.fc24 i686
gstreamer1 1.8.3 1.fc24 x86_64
gstreamer1-libav 1.8.3 1.fc24 x86_64
gstreamer1-plugins-bad-free 1.8.3 3.fc24 x86_64
gstreamer1-plugins-base 1.8.3 2.fc24 i686
gstreamer1-plugins-base 1.8.3 2.fc24 x86_64
gstreamer1-plugins-good 1.8.3 2.fc24 x86_64
gtk2 2.24.31 1.fc24 i686
gtk2 2.24.31 1.fc24 x86_64
gtk2-engines 2.20.2 11.fc24 x86_64
gtk3 3.20.10 1.fc24 x86_64
gtkimageview 1.6.4 11.fc23 x86_64
gtkmm24 2.24.4 9.fc24 x86_64
gtkmm30 3.20.1 1.fc24 x86_64
gtksourceview3 3.20.4 1.fc24 x86_64
gtkspell 2.0.16 11.fc24 x86_64
gtk-update-icon-cache 3.20.10 1.fc24 x86_64
gts 0.7.6 29.20121130.fc24 x86_64
guava 18.0 4.fc23 noarch
guile 2.0.13 1.fc24 x86_64
gutenprint 5.2.11 2.fc24 x86_64
gutenprint-cups 5.2.11 2.fc24 x86_64
gutenprint-libs 5.2.11 2.fc24 x86_64
gvfs 1.28.3 1.fc24 x86_64
gvfs-client 1.28.3 1.fc24 x86_64
gvfs-gphoto2 1.28.3 1.fc24 x86_64
gvfs-mtp 1.28.3 1.fc24 x86_64
gzip 1.6 10.fc24 x86_64
hardlink 1.0 23.fc24 x86_64
harfbuzz 1.2.7 1.fc24 i686
harfbuzz 1.2.7 1.fc24 x86_64
harfbuzz-icu 1.2.7 1.fc24 i686
harfbuzz-icu 1.2.7 1.fc24 x86_64
hawkey 0.6.4 2.fc24 x86_64
hddtemp 0.3 0.35.beta15.fc24 x86_64
hdparm 9.48 2.fc24 x86_64
heimdall 1.4.1 8.fc24 x86_64
heimdall-frontend 1.4.1 8.fc24 x86_64
herqq 1.0.0 13.fc24 x86_64
hesiod 3.2.1 6.fc24 x86_64
hfsplus-tools 540.1.linux3 11.fc24 x86_64
hicolor-icon-theme 0.15 3.fc24 noarch
hostapd 2.5 5.fc24 x86_64
hostapd-logwatch 2.5 5.fc24 x86_64
hostname 3.15 7.fc24 x86_64
httpcomponents-client 4.5.2 2.fc24 noarch
httpcomponents-core 4.4.4 2.fc24 noarch
httpd 2.4.25 1.fc24 x86_64
httpd-filesystem 2.4.25 1.fc24 noarch
httpd-tools 2.4.25 1.fc24 x86_64
http-parser 2.7.1 3.fc24 x86_64
hunspell 1.3.3 10.fc24 i686
hunspell 1.3.3 10.fc24 x86_64
hunspell-en 0.20140811.1 5.fc24 noarch
hunspell-en-GB 0.20140811.1 5.fc24 noarch
hunspell-en-US 0.20140811.1 5.fc24 noarch
hwdata 0.298 1.fc24 noarch
hwloc-libs 1.11.0 6.fc24 x86_64
hyperv-daemons 0 0.15.20160728git.fc24 x86_64
hyperv-daemons-license 0 0.15.20160728git.fc24 noarch
hypervfcopyd 0 0.15.20160728git.fc24 x86_64
hypervkvpd 0 0.15.20160728git.fc24 x86_64
hypervvssd 0 0.15.20160728git.fc24 x86_64
hyphen 2.8.8 4.fc24 x86_64
i3lock 2.8 1.fc24 x86_64
ibus 1.5.13 4.fc24 x86_64
ibus-gtk2 1.5.13 4.fc24 x86_64
ibus-gtk3 1.5.13 4.fc24 x86_64
